,Knowledge representation and reasoning_CAI_01,Automated planning and scheduling_CAI_02,Machine learning_CAI_03,Natural language processing_CAI_04,Machine perception_CAI_05,Computer vision_CAI_06,Speech recognition_CAI_07,Robotics_CAI_08,Affective computing_CAI_09,Deep learning_CAI_10,Information retrieval_CAI_11,Computer science_CAI_12,Data mining_CAI_14,Commonsense knowledge_CAI_15,Intelligent agent_CAI_16,Master_Similarity
1773,0.77,0.64,0.70,0.47,0.33,0.58,0.26,0.19,0.64,0.10,0.72,0.53,0.95,0.27,1.00,0.93
2164,0.73,0.50,0.84,0.68,0.77,0.51,0.10,0.48,0.83,0.55,0.20,0.64,0.36,0.64,1.00,0.93
1553,0.65,0.72,0.95,0.50,0.41,0.37,0.64,0.35,0.87,0.10,1.00,0.27,0.98,0.48,0.73,0.93
632,0.71,1.00,0.77,0.10,0.62,0.62,0.90,0.56,0.54,0.80,0.84,0.32,0.79,0.16,0.80,0.93
1506,0.55,0.31,1.00,0.25,0.27,0.30,0.11,0.24,0.46,0.29,0.36,0.65,0.77,0.10,0.60,0.93
1842,0.52,0.86,0.67,0.36,0.66,0.59,0.55,1.00,0.56,0.57,0.56,0.10,0.64,0.32,0.82,0.93
2030,0.62,0.63,0.82,0.64,0.80,0.50,0.51,0.87,0.75,0.75,0.10,0.55,0.30,0.54,1.00,0.93
928,0.33,0.60,0.80,0.26,0.55,0.52,0.60,0.75,0.72,0.55,0.55,1.00,0.73,0.10,0.68,0.93
2200,0.61,0.37,0.73,0.37,0.48,0.42,0.44,0.10,0.67,0.45,0.66,0.40,1.00,0.36,0.60,0.93
2111,0.54,0.25,1.00,0.19,0.43,0.51,0.38,0.10,0.63,0.40,0.61,0.55,0.93,0.51,0.86,0.93
1498,0.69,0.67,0.56,0.51,0.63,0.45,0.18,0.71,0.48,0.10,0.51,0.11,0.44,0.25,1.00,0.93
1128,0.67,0.82,0.57,0.53,0.67,0.36,0.72,0.76,0.75,0.25,0.50,0.10,0.45,0.45,1.00,0.93
737,0.34,0.28,1.00,0.35,0.60,0.39,0.20,0.24,0.72,0.62,0.10,0.27,0.40,0.33,0.38,0.93
739,0.58,0.60,0.91,0.77,0.60,0.65,0.43,0.10,0.77,0.33,0.48,0.36,1.00,0.73,0.88,0.93
1635,0.33,0.18,1.00,0.45,0.51,0.31,0.10,0.28,0.80,0.60,0.12,0.24,0.60,0.37,0.57,0.93
753,0.59,0.63,0.67,0.55,0.47,0.27,0.59,0.18,0.88,0.16,0.52,0.10,0.54,0.50,1.00,0.93
758,0.54,0.66,0.88,0.52,1.00,0.67,0.23,0.90,0.71,0.66,0.10,0.26,0.28,0.37,0.80,0.93
1502,0.32,0.39,0.95,0.35,0.54,0.33,0.17,0.17,0.54,0.28,0.58,0.10,1.00,0.31,0.64,0.93
900,0.60,0.74,0.68,0.42,0.39,0.34,0.41,0.17,0.56,0.10,0.46,0.54,0.94,0.34,1.00,0.93
1630,0.53,0.80,0.61,0.19,0.69,0.46,0.10,0.76,0.68,0.77,0.63,0.65,0.81,0.26,1.00,0.93
622,0.64,0.65,0.82,0.56,0.48,0.26,0.42,0.10,0.83,0.50,0.11,0.22,0.37,0.57,1.00,0.93
1476,0.51,0.29,0.81,0.40,0.92,0.76,0.50,0.97,0.96,1.00,0.55,0.46,0.55,0.10,0.77,0.93
829,0.61,0.73,0.73,0.30,0.36,0.23,0.10,0.19,0.46,0.29,0.27,0.29,0.52,0.47,1.00,0.93
923,0.51,0.32,0.79,0.47,0.42,0.49,0.27,0.10,0.48,0.39,0.59,0.33,1.00,0.31,0.64,0.93
1481,0.54,0.73,0.58,0.39,0.39,0.50,0.50,0.56,0.39,0.16,0.64,0.37,1.00,0.10,0.78,0.93
1874,0.64,0.94,0.97,0.43,0.91,0.90,0.33,1.00,0.83,0.80,0.10,0.45,0.31,0.34,0.92,0.93
1484,0.39,0.65,1.00,0.23,0.39,0.33,0.26,0.10,0.49,0.43,0.54,0.56,0.99,0.16,0.62,0.93
906,0.40,0.81,0.49,0.30,0.56,0.55,0.42,0.60,0.39,0.44,0.40,0.10,0.68,0.29,1.00,0.93
1184,0.75,0.64,0.62,0.36,0.65,0.38,0.17,0.61,0.68,0.33,0.30,0.40,0.10,0.36,1.00,0.93
1188,0.31,0.59,1.00,0.49,0.74,0.88,0.28,0.46,0.70,0.93,0.10,0.34,0.32,0.28,0.75,0.93
1275,0.69,0.78,0.60,0.10,0.47,0.54,0.42,0.46,0.55,0.24,0.74,0.55,1.00,0.20,0.69,0.93
1154,0.85,0.40,0.86,0.38,0.27,0.39,0.24,0.33,0.62,0.12,0.59,0.49,1.00,0.10,0.65,0.93
1186,0.44,0.31,1.00,0.39,0.69,0.55,0.16,0.27,0.76,0.90,0.10,0.36,0.31,0.28,0.67,0.93
629,0.72,0.37,1.00,0.56,0.77,0.37,0.10,0.24,0.57,0.43,0.42,0.53,0.27,0.61,0.85,0.93
904,0.68,0.84,0.85,0.48,0.52,0.32,0.45,0.18,0.62,0.44,0.94,0.10,0.83,0.48,1.00,0.93
1119,0.66,0.40,0.79,0.44,0.48,0.23,0.13,0.10,0.60,0.50,0.24,0.22,0.31,0.48,1.00,0.93
1683,0.47,0.35,0.85,0.29,0.87,0.49,0.28,0.12,0.73,0.53,0.78,0.10,1.00,0.34,0.84,0.93
2076,1.00,0.89,0.94,0.83,0.76,0.73,0.94,0.10,0.96,0.51,0.69,0.61,0.90,0.79,0.84,0.93
689,0.67,0.72,0.81,0.48,0.80,0.95,0.49,0.60,0.74,1.00,0.51,0.92,0.61,0.10,0.68,0.93
1083,0.26,0.44,1.00,0.65,0.60,0.31,0.23,0.54,0.79,0.10,0.23,0.48,0.85,0.36,0.60,0.93
2180,0.51,0.32,1.00,0.40,0.36,0.33,0.10,0.13,0.45,0.50,0.56,0.44,0.88,0.30,0.54,0.93
1084,0.52,0.93,0.71,0.10,0.43,0.13,0.30,0.55,0.91,0.23,0.18,0.32,0.41,0.18,1.00,0.93
2176,0.62,0.51,0.86,0.68,0.38,0.43,0.85,0.10,1.00,0.29,0.67,0.38,0.79,0.33,0.70,0.93
1548,0.73,0.10,0.98,0.28,0.40,0.45,0.40,0.20,0.52,0.30,0.40,0.69,1.00,0.21,0.95,0.93
1757,0.26,0.42,1.00,0.37,0.50,0.51,0.31,0.30,0.54,0.58,0.25,0.61,0.67,0.10,0.34,0.93
697,0.65,0.78,0.80,0.45,0.79,0.49,0.14,0.93,0.70,0.56,0.10,0.30,0.27,0.35,1.00,0.93
1077,0.46,0.78,0.82,0.51,0.71,0.72,0.39,0.77,0.71,0.66,0.83,0.98,1.00,0.10,0.78,0.93
1957,0.55,0.46,0.90,0.59,0.77,0.53,0.29,0.69,0.70,0.79,0.10,0.66,0.30,0.44,1.00,0.93
1960,0.56,0.50,0.87,0.39,0.31,0.24,1.00,0.52,0.84,0.62,0.33,0.10,0.59,0.31,0.85,0.93
839,0.63,0.79,0.67,0.50,0.43,0.41,0.67,0.47,0.72,0.36,0.21,0.10,0.35,0.52,1.00,0.93
1606,0.42,0.33,1.00,0.53,0.69,0.48,0.18,0.10,0.65,0.77,0.23,0.25,0.34,0.30,0.52,0.93
1573,0.62,0.34,0.71,0.45,0.55,0.46,0.39,0.10,0.73,0.28,0.70,0.40,1.00,0.35,0.56,0.93
2139,0.44,0.65,0.89,0.31,0.70,0.44,0.20,1.00,0.54,0.20,0.42,0.10,0.81,0.37,0.89,0.93
1150,0.24,0.30,1.00,0.37,0.55,0.33,0.47,0.42,0.84,0.10,0.56,0.53,0.96,0.20,0.56,0.93
2174,0.87,0.78,0.62,0.32,0.91,0.94,0.45,0.94,1.00,0.84,0.61,0.10,0.43,0.34,0.79,0.93
786,0.64,0.52,0.74,0.23,0.35,0.37,0.24,0.24,0.53,0.10,0.63,0.35,1.00,0.29,0.71,0.93
1619,0.57,0.53,1.00,0.56,0.86,0.55,0.26,0.76,0.80,0.72,0.10,0.84,0.26,0.48,0.99,0.93
771,0.54,0.86,0.66,0.57,0.50,0.13,0.44,0.32,0.82,0.21,0.28,0.10,0.49,0.48,1.00,0.93
2192,0.42,0.27,0.99,0.29,0.41,0.49,0.14,0.37,0.42,0.53,0.41,0.56,1.00,0.10,0.51,0.93
1608,0.30,1.00,0.71,0.12,0.38,0.48,0.73,0.22,0.76,0.56,0.36,0.10,0.75,0.27,0.98,0.93
2024,0.78,0.99,0.63,0.53,0.67,0.57,0.63,0.73,0.49,0.47,0.97,0.38,0.91,0.10,1.00,0.93
2027,0.40,0.16,1.00,0.35,0.66,0.74,0.21,0.66,0.68,0.51,0.45,0.38,0.76,0.10,0.30,0.93
2035,0.16,0.24,1.00,0.57,0.58,0.46,0.41,0.50,0.81,0.59,0.10,0.33,0.45,0.15,0.50,0.93
1100,0.26,0.24,0.89,0.30,0.60,0.59,0.26,0.32,0.72,0.38,0.47,0.46,1.00,0.10,0.44,0.93
1994,1.00,0.55,0.89,0.31,0.40,0.14,0.60,0.50,0.84,0.10,0.81,0.44,0.87,0.35,0.68,0.93
1591,0.74,0.71,0.63,0.32,0.65,0.38,0.14,0.63,0.65,0.37,0.28,0.44,0.10,0.30,1.00,0.93
2115,0.27,0.22,1.00,0.43,0.49,0.43,0.17,0.10,0.51,0.55,0.21,0.29,0.64,0.31,0.46,0.93
2117,0.36,0.67,0.71,0.33,0.74,0.55,0.77,1.00,0.58,0.39,0.67,0.35,0.61,0.10,0.71,0.93
870,0.48,0.96,0.98,0.28,0.46,0.10,0.25,0.53,0.88,0.57,0.93,0.36,0.37,0.43,1.00,0.93
659,0.56,0.76,0.66,0.25,0.24,0.33,0.38,0.35,0.52,0.28,0.66,0.38,1.00,0.10,0.80,0.93
684,0.64,0.94,0.47,0.30,0.98,0.73,0.20,0.10,1.00,0.44,0.46,0.31,0.79,0.50,0.88,0.92
3411,0.45,0.21,1.00,0.46,0.61,0.42,0.28,0.10,0.60,0.31,0.70,0.30,0.90,0.36,0.44,0.92
661,0.88,0.65,0.59,0.33,0.88,1.00,0.59,0.72,0.74,0.44,0.52,0.27,0.55,0.10,0.41,0.92
1233,0.44,0.63,0.88,0.22,0.37,0.35,0.34,0.10,0.51,0.21,0.61,0.25,1.00,0.21,0.49,0.92
266,0.17,0.43,0.85,0.10,0.29,0.46,0.14,0.25,0.64,0.19,0.36,0.39,1.00,0.12,0.60,0.92
2692,0.44,0.27,1.00,0.38,0.62,0.35,0.22,0.17,0.66,0.66,0.10,0.13,0.25,0.44,0.59,0.92
1231,0.79,0.65,0.73,0.38,0.40,0.46,0.84,0.10,0.56,0.40,0.70,0.52,1.00,0.38,0.78,0.92
2480,0.31,0.29,1.00,0.44,0.52,0.49,0.18,0.47,0.54,0.61,0.10,0.55,0.60,0.33,0.39,0.92
280,0.79,0.84,0.72,0.34,0.56,0.15,0.10,0.64,0.73,0.24,0.27,0.30,0.30,0.51,1.00,0.92
485,0.41,0.28,0.88,0.31,0.39,0.40,0.10,0.18,0.43,0.66,0.47,0.47,1.00,0.23,0.66,0.92
893,0.12,0.40,1.00,0.45,0.40,0.29,0.10,0.58,0.54,0.45,0.39,0.69,0.84,0.21,0.70,0.92
285,0.78,0.96,0.59,0.52,0.79,0.66,0.97,1.00,0.62,0.51,0.61,0.61,0.51,0.10,0.90,0.92
274,0.70,0.98,0.73,0.46,0.82,0.85,0.97,1.00,0.67,0.51,0.87,0.10,0.65,0.50,0.90,0.92
3319,0.85,0.40,0.74,0.27,0.50,0.46,0.35,0.68,1.00,0.78,0.54,0.59,0.19,0.10,0.50,0.92
487,0.64,0.37,1.00,0.75,0.38,0.50,0.10,0.59,0.55,0.66,0.42,0.94,0.84,0.46,0.85,0.92
1276,0.81,1.00,0.69,0.10,0.50,0.30,0.19,0.72,0.50,0.34,0.58,0.28,0.52,0.45,0.85,0.92
2697,0.74,0.46,0.97,0.10,0.51,0.52,0.58,0.53,0.93,0.37,1.00,0.70,0.93,0.34,0.44,0.92
3388,1.00,0.81,0.75,0.32,0.49,0.23,0.18,0.78,0.57,0.11,0.63,0.10,0.52,0.16,0.94,0.92
1296,0.51,1.00,0.47,0.34,0.55,0.71,0.53,0.80,0.52,0.55,0.48,0.61,0.56,0.10,0.67,0.92
644,0.78,0.53,0.67,0.62,0.66,0.61,0.61,0.12,0.62,0.53,0.64,0.10,0.87,0.66,1.00,0.92
3398,0.29,0.10,1.00,0.27,0.42,0.33,0.21,0.20,0.76,0.48,0.29,0.35,0.75,0.29,0.34,0.92
489,0.74,0.47,0.89,0.10,1.00,0.87,0.39,0.57,0.71,0.28,0.40,0.75,0.99,0.69,0.71,0.92
3184,0.73,0.43,0.89,0.40,0.49,0.35,0.36,0.10,0.73,0.22,0.78,0.40,1.00,0.57,0.63,0.92
3340,0.67,0.63,0.80,0.65,0.58,0.60,1.00,0.10,0.88,0.37,0.56,0.53,0.79,0.59,0.72,0.92
2313,0.52,0.23,0.48,0.31,0.36,0.39,0.39,0.10,0.62,0.11,0.41,0.15,0.65,0.38,1.00,0.92
419,0.65,0.70,0.52,0.52,0.71,0.40,0.84,0.67,0.70,0.57,0.48,0.10,0.33,0.55,1.00,0.92
2397,0.58,1.00,0.53,0.35,0.74,0.52,0.34,0.83,0.43,0.57,0.74,0.41,0.75,0.10,0.78,0.92
2525,0.47,0.44,0.89,0.63,0.40,0.66,0.94,0.10,0.60,0.74,0.50,0.80,0.81,0.36,1.00,0.92
2224,0.45,0.41,0.60,0.24,0.32,0.34,0.39,0.10,0.48,0.18,0.49,0.35,1.00,0.27,0.66,0.92
733,0.50,0.50,0.57,0.24,1.00,0.54,0.81,0.64,0.84,0.47,0.73,0.10,0.37,0.14,0.75,0.92
1483,0.23,0.40,0.89,0.27,0.42,0.35,0.22,0.13,0.50,0.21,0.45,0.45,1.00,0.10,0.47,0.92
581,0.72,0.65,0.73,0.50,0.72,0.80,0.60,0.61,0.69,0.90,0.53,1.00,0.58,0.10,0.64,0.92
1899,0.39,0.55,0.70,0.37,0.67,0.67,0.43,1.00,0.76,0.25,0.53,0.45,0.54,0.10,0.37,0.92
3326,0.37,0.27,0.91,0.32,0.36,0.40,0.10,0.14,0.53,0.27,0.34,0.39,1.00,0.30,0.61,0.92
1245,0.71,0.60,0.65,0.29,0.28,0.30,0.51,0.15,0.55,0.10,0.61,0.42,1.00,0.12,0.71,0.92
1240,0.44,0.71,0.63,0.57,0.77,1.00,0.56,0.76,0.62,0.69,0.28,0.56,0.52,0.10,0.55,0.92
269,0.33,0.45,1.00,0.31,0.34,0.52,0.21,0.10,0.76,0.16,0.53,0.55,0.94,0.28,0.44,0.92
1239,0.69,0.36,0.77,0.31,0.30,0.32,0.21,0.10,0.44,0.31,0.51,0.38,1.00,0.34,0.62,0.92
2168,0.80,0.76,0.97,0.61,0.81,0.57,0.10,0.75,0.68,0.64,0.13,0.76,0.32,0.64,1.00,0.92
1901,0.41,1.00,0.92,0.36,0.50,0.39,0.14,0.42,0.49,0.80,0.10,0.62,0.36,0.24,0.87,0.92
587,0.51,0.33,0.75,0.21,0.35,0.36,0.37,0.10,0.59,0.30,0.62,0.36,1.00,0.33,0.49,0.92
273,0.74,0.55,0.78,0.44,0.35,0.27,0.11,0.13,0.58,0.29,0.10,0.38,0.27,0.50,1.00,0.92
1285,0.46,0.93,0.98,0.68,0.71,0.40,0.48,0.93,0.44,0.10,0.28,0.49,0.75,0.61,1.00,0.92
1333,0.60,0.52,0.85,0.50,0.81,0.67,0.34,0.89,0.79,0.79,0.10,0.80,0.22,0.30,1.00,0.92
3266,0.58,0.43,0.69,0.14,0.55,0.48,0.20,0.22,0.35,0.30,0.61,0.23,1.00,0.10,0.54,0.92
3262,0.54,0.73,0.95,0.12,0.51,0.48,0.16,0.95,0.65,0.68,0.10,0.80,0.44,0.11,1.00,0.92
2496,0.89,0.82,0.74,0.21,0.64,0.55,0.32,0.42,0.51,0.60,0.12,0.45,0.10,0.42,1.00,0.92
1884,0.69,0.63,0.68,0.42,0.35,0.40,0.80,0.10,0.68,0.34,0.74,0.46,1.00,0.48,0.87,0.92
247,0.91,1.00,0.91,0.26,0.31,0.55,0.74,0.50,0.54,0.38,0.96,0.66,0.92,0.10,0.59,0.92
1470,0.82,0.67,0.91,0.63,0.44,0.32,0.52,0.21,0.67,0.10,1.00,0.49,0.87,0.27,0.68,0.92
301,0.76,1.00,0.78,0.33,0.33,0.44,0.75,0.10,0.94,0.21,0.80,0.54,0.89,0.39,0.90,0.92
3257,0.44,0.32,0.82,0.38,0.38,0.38,0.30,0.10,0.64,0.33,0.56,0.47,1.00,0.41,0.49,0.92
2429,0.50,0.95,0.85,0.28,0.68,0.51,0.19,0.77,0.49,0.89,0.10,0.51,0.41,0.32,1.00,0.92
730,0.42,0.74,0.54,0.19,0.21,0.34,0.49,0.10,0.45,0.28,0.42,0.31,0.63,0.35,1.00,0.92
3252,0.77,0.56,0.64,0.68,0.53,0.57,0.79,0.10,0.57,0.73,0.66,0.37,0.60,0.51,1.00,0.92
2576,0.42,0.39,0.94,0.49,0.80,0.68,0.32,0.58,1.00,0.75,0.10,0.60,0.37,0.60,0.56,0.92
3138,0.35,0.30,0.98,0.53,0.43,0.42,0.37,0.10,0.68,0.36,0.69,0.60,1.00,0.42,0.72,0.92
1192,0.57,0.41,1.00,0.55,0.51,0.37,0.10,0.30,0.56,0.76,0.33,0.83,0.72,0.56,0.70,0.92
720,0.81,1.00,0.82,0.10,0.41,0.62,0.53,0.75,0.30,0.56,0.71,0.44,1.00,0.15,0.86,0.92
2401,0.56,0.65,0.72,0.39,0.62,0.63,0.44,0.46,0.60,1.00,0.23,0.84,0.35,0.10,0.74,0.92
1206,0.75,0.68,0.72,0.19,0.55,0.47,0.29,0.69,0.76,0.10,1.00,0.64,0.49,0.10,0.61,0.92
1207,1.00,0.67,0.68,0.55,0.43,0.57,0.55,0.10,0.66,0.33,0.78,0.48,0.78,0.62,0.90,0.92
3271,0.32,0.16,0.82,0.44,0.75,0.73,0.26,0.58,0.68,0.54,0.42,0.31,1.00,0.10,0.42,0.92
462,0.87,1.00,0.70,0.43,0.27,0.36,0.63,0.72,0.54,0.10,0.39,0.40,0.43,0.26,0.79,0.92
1262,0.81,0.73,0.76,0.70,0.51,0.35,0.10,0.34,0.56,0.37,0.10,0.38,0.44,0.53,1.00,0.92
1251,0.72,0.76,1.00,0.43,0.35,0.34,0.58,0.48,0.67,0.10,0.93,0.86,0.92,0.15,0.66,0.92
2709,0.40,0.52,0.76,0.60,0.42,0.15,0.12,0.33,0.94,0.12,0.10,0.65,0.55,0.12,1.00,0.92
3371,0.34,0.25,0.89,0.49,0.61,0.43,0.32,0.40,1.00,0.88,0.10,0.58,0.62,0.33,0.60,0.92
482,0.89,0.79,0.83,0.66,0.68,0.22,1.00,0.86,0.93,0.10,0.52,0.46,0.60,0.25,0.56,0.92
464,0.40,0.48,0.89,0.56,0.43,0.42,0.46,0.10,0.55,0.16,0.49,0.52,1.00,0.26,0.49,0.92
450,0.63,0.93,0.57,0.42,0.39,0.20,0.30,0.31,0.62,0.20,0.19,0.10,0.42,0.31,1.00,0.92
2464,0.60,0.63,0.71,0.38,0.27,0.30,0.10,0.10,0.46,0.34,0.13,0.49,0.38,0.42,1.00,0.92
3275,0.40,0.31,0.69,0.29,1.00,0.55,0.44,0.70,0.78,0.91,0.10,0.48,0.59,0.18,0.74,0.92
1258,0.63,0.51,0.79,0.38,0.39,0.38,0.32,0.10,0.55,0.31,0.69,0.32,1.00,0.49,0.64,0.92
676,0.25,0.21,1.00,0.41,0.49,0.41,0.14,0.10,0.51,0.58,0.16,0.23,0.59,0.28,0.45,0.92
484,0.51,0.44,0.82,0.44,1.00,0.72,0.25,0.79,0.72,0.87,0.10,0.30,0.22,0.21,0.73,0.92
2710,0.33,0.85,0.69,0.38,0.54,0.46,1.00,0.59,0.69,0.22,0.61,0.10,0.48,0.24,0.77,0.92
2445,0.38,0.43,0.82,0.12,0.34,0.26,0.53,0.10,0.49,0.33,0.55,0.17,1.00,0.21,0.62,0.92
3415,0.64,0.39,0.83,0.74,0.47,0.52,0.58,0.10,0.85,0.70,0.74,0.83,0.77,0.54,1.00,0.92
3318,0.74,0.53,0.80,0.49,0.48,0.53,0.44,0.10,0.71,0.22,0.84,0.39,1.00,0.61,0.73,0.92
1865,0.39,0.20,0.88,0.23,0.45,0.48,0.43,0.10,0.56,0.39,0.47,0.53,1.00,0.25,0.49,0.92
1538,0.46,0.71,0.74,0.70,0.42,0.44,0.84,0.10,1.00,0.25,0.35,0.37,0.53,0.36,0.64,0.92
2915,0.72,0.54,0.88,0.69,0.78,0.49,0.10,0.51,0.79,0.52,0.12,0.64,0.30,0.65,1.00,0.92
509,0.54,0.45,0.86,0.64,0.80,0.53,0.31,0.77,0.71,0.83,0.10,0.69,0.27,0.44,1.00,0.92
2753,0.40,0.86,0.54,0.40,0.40,0.42,0.44,0.10,0.53,0.41,0.57,0.64,0.82,0.23,1.00,0.92
1496,0.58,0.22,1.00,0.88,0.80,0.46,0.10,0.36,0.72,0.59,0.49,0.42,0.29,0.47,0.85,0.92
505,0.76,0.43,0.85,0.35,0.72,0.85,0.63,1.00,0.85,0.50,0.63,0.76,0.48,0.10,0.42,0.92
2309,0.52,0.42,0.80,0.60,0.52,0.80,1.00,0.10,0.78,0.64,0.80,0.77,0.80,0.29,0.91,0.92
237,0.62,1.00,0.60,0.10,0.59,0.61,0.44,0.81,0.48,0.47,0.64,0.32,0.71,0.24,0.62,0.92
1500,0.52,0.57,0.62,0.27,0.23,0.27,0.59,0.11,0.56,0.18,0.59,0.10,0.46,0.39,1.00,0.92
2678,0.34,0.81,0.77,0.34,0.36,0.32,0.61,0.10,0.48,0.15,0.49,0.20,0.93,0.16,1.00,0.92
2292,0.67,0.96,0.62,0.34,0.38,0.33,0.80,0.10,0.70,0.58,0.68,0.31,0.87,0.28,1.00,0.92
1181,0.46,0.39,0.81,0.26,0.42,0.28,0.10,0.26,0.41,0.12,0.53,0.24,1.00,0.36,0.74,0.92
1505,0.61,0.92,0.80,0.16,0.69,0.53,0.60,0.56,0.70,0.20,1.00,0.10,0.90,0.55,0.80,0.92
3230,0.25,0.11,1.00,0.36,0.49,0.29,0.10,0.28,0.51,0.58,0.23,0.45,0.43,0.16,0.44,0.92
1919,0.53,0.29,0.92,0.21,0.79,0.82,0.86,1.00,0.89,0.58,0.10,0.86,0.60,0.26,0.95,0.92
3229,0.46,0.26,1.00,0.51,0.39,0.37,0.18,0.10,0.60,0.45,0.71,0.54,0.82,0.34,0.59,0.92
1511,0.66,0.86,0.74,0.45,0.82,0.65,0.37,0.96,0.72,0.53,0.10,0.31,0.19,0.39,1.00,0.92
1512,0.65,0.90,0.80,0.35,0.33,0.14,0.89,0.46,0.73,0.10,0.64,0.51,1.00,0.16,0.79,0.92
425,0.83,0.92,0.75,0.36,0.58,0.53,0.96,0.62,1.00,0.27,0.74,0.10,0.64,0.41,0.56,0.92
2674,0.19,0.46,1.00,0.36,0.39,0.14,0.10,0.22,0.50,0.13,0.43,0.45,0.85,0.16,0.61,0.92
1349,0.38,0.52,0.75,0.17,0.93,0.97,0.73,0.94,1.00,0.69,0.69,0.29,0.47,0.10,0.69,0.92
305,0.52,0.52,0.63,0.48,0.34,0.44,1.00,0.23,0.62,0.44,0.51,0.10,0.80,0.27,0.76,0.92
770,0.82,0.94,0.85,0.48,0.42,0.36,0.99,0.44,0.59,0.10,0.81,0.11,1.00,0.26,0.91,0.92
2414,0.88,1.00,0.83,0.58,0.45,0.11,0.66,0.71,0.77,0.47,0.90,0.10,0.92,0.48,0.74,0.92
746,0.39,0.39,0.77,0.34,0.49,0.31,0.10,0.13,1.00,0.30,0.13,0.16,0.35,0.48,0.63,0.92
2099,0.13,0.18,1.00,0.27,0.52,0.36,0.21,0.19,0.62,0.61,0.10,0.30,0.40,0.16,0.42,0.92
2412,0.49,0.45,0.67,0.38,0.33,0.18,0.22,0.10,0.44,0.41,0.15,0.11,0.35,0.39,1.00,0.92
1525,0.88,0.76,0.61,0.27,0.89,0.96,0.46,1.00,1.00,0.86,0.62,0.10,0.37,0.29,0.81,0.92
1875,0.55,0.62,1.00,0.86,0.68,0.59,0.10,0.48,0.54,0.88,0.15,0.69,0.70,0.41,0.71,0.92
3220,0.39,1.00,0.84,0.39,0.57,0.31,0.46,0.41,0.47,0.36,0.24,0.10,0.60,0.61,0.81,0.92
424,0.73,0.30,0.48,0.34,0.75,0.66,0.46,0.35,1.00,0.54,0.72,0.10,0.36,0.22,0.65,0.92
976,0.63,0.53,0.80,0.41,0.48,0.27,0.41,0.41,1.00,0.31,0.10,0.48,0.11,0.49,0.54,0.92
3205,0.84,0.65,1.00,0.51,0.74,0.20,0.76,0.43,0.80,0.62,0.49,0.10,0.28,0.87,1.00,0.92
1873,0.56,0.81,0.79,0.30,0.36,0.34,0.76,0.13,0.60,0.18,0.67,0.10,1.00,0.30,0.73,0.92
2767,0.43,0.20,1.00,0.28,0.40,0.32,0.36,0.17,0.79,0.10,0.34,0.36,0.99,0.31,0.52,0.92
3449,0.42,0.45,0.68,0.65,0.57,0.38,0.22,0.60,0.79,0.31,0.10,0.67,0.35,0.42,1.00,0.92
1539,0.47,0.29,1.00,0.35,0.75,0.60,0.35,0.40,0.46,0.65,0.38,0.40,0.38,0.10,0.19,0.92
755,0.45,0.61,0.90,0.48,0.64,0.59,0.20,0.59,0.55,1.00,0.10,0.68,0.39,0.39,0.84,0.92
2776,0.29,0.13,1.00,0.42,0.42,0.40,0.19,0.10,0.59,0.42,0.33,0.33,0.75,0.38,0.51,0.92
868,0.85,0.77,0.86,0.19,0.41,0.42,0.56,0.29,0.46,0.44,0.95,0.45,1.00,0.10,0.64,0.92
3215,0.35,0.10,1.00,0.21,0.51,0.33,0.23,0.12,0.63,0.55,0.14,0.14,0.56,0.23,0.32,0.92
1516,0.59,0.63,0.51,0.49,0.41,0.18,0.44,0.48,0.58,0.21,0.35,0.10,0.26,0.44,1.00,0.92
2105,0.68,0.63,0.66,0.48,0.26,0.36,0.76,0.29,0.69,0.10,0.72,0.47,0.92,0.44,1.00,0.92
650,0.96,0.93,0.76,0.55,0.44,0.43,0.78,0.10,0.65,0.29,0.85,0.57,1.00,0.36,0.86,0.92
763,0.95,0.77,0.90,0.81,0.47,0.31,0.87,0.28,0.90,0.56,0.59,0.10,0.19,0.43,1.00,0.92
2802,0.56,0.68,0.54,0.48,0.58,0.42,0.27,0.69,0.58,0.47,0.10,0.38,0.18,0.43,1.00,0.92
109,0.56,0.43,1.00,0.69,0.53,0.38,0.10,0.10,0.68,0.72,0.27,0.76,0.61,0.41,0.63,0.92
1137,0.29,0.32,0.83,0.30,0.47,0.38,0.24,0.10,0.55,0.27,0.42,0.31,1.00,0.25,0.43,0.92
1544,0.58,0.78,0.62,0.10,0.40,0.39,0.35,0.33,0.26,0.33,0.58,0.13,0.57,0.38,1.00,0.92
1138,0.52,0.46,0.71,0.47,0.76,0.68,1.00,0.84,0.88,0.64,1.00,0.54,0.58,0.10,0.72,0.92
3167,0.24,0.52,0.81,0.47,0.78,0.65,0.48,1.00,0.87,0.27,0.25,0.10,0.84,0.51,0.69,0.92
1369,0.55,0.97,0.69,0.41,0.43,0.41,0.85,0.66,1.00,0.10,0.85,0.27,0.87,0.47,0.85,0.92
912,0.67,0.86,0.51,0.36,0.47,0.53,0.39,1.00,0.50,0.28,0.37,0.42,0.49,0.10,0.70,0.92
1370,0.73,0.30,0.80,0.33,0.46,0.62,0.66,0.10,1.00,0.26,0.54,0.97,0.92,0.36,0.96,0.92
307,0.69,0.74,0.75,0.27,0.37,0.32,0.59,0.41,1.00,0.14,0.66,0.70,0.65,0.10,0.39,0.92
