,Knowledge representation and reasoning_CKAI_01,Machine learning_CKAI_02,Deep learning_CKAI_03,Data mining_CKAI_04,Automated planning and scheduling_CKAI_05,Information retrieval_CKAI_06,Computer vision_CKAI_07,Affective computing_CKAI_08,Intelligent agent_CKAI_09,Machine perception_CKAI_10,Natural language processing_CKAI_11,Speech recognition_CKAI_12,Robotics_CKAI_13,Commonsense knowledge_CKAI_14,Computer science_CKAI_16,Master_Similarity
309,0.48,0.95,1.00,0.33,0.54,0.60,0.10,0.47,0.52,0.66,0.32,0.46,0.82,0.18,0.59,0.89
2061,0.88,0.54,0.62,0.44,0.40,0.53,0.50,0.61,0.38,0.52,0.39,1.00,0.53,0.10,0.48,0.89
2360,1.00,0.57,0.57,0.24,0.63,0.69,0.36,0.91,0.55,0.23,0.34,0.82,0.59,0.10,0.54,0.89
1997,0.52,0.99,0.38,0.15,0.56,0.55,0.29,0.69,0.57,0.32,0.49,0.10,0.53,0.25,1.00,0.89
1586,0.71,0.49,0.38,0.39,0.82,1.00,0.34,0.91,0.45,0.58,0.52,0.48,0.24,0.10,0.67,0.89
2478,0.47,0.42,0.43,0.50,0.56,0.38,0.53,1.00,0.90,0.35,0.18,0.34,0.10,0.53,0.70,0.89
2062,0.82,0.71,0.82,0.78,0.32,0.27,0.39,0.48,0.47,1.00,0.32,0.60,0.10,0.15,0.63,0.89
1306,0.67,0.39,0.79,0.49,0.51,0.35,0.39,0.60,1.00,0.45,0.59,0.10,0.70,0.62,0.67,0.89
60,0.36,0.50,0.67,0.36,0.80,0.55,0.40,1.00,0.57,0.53,0.15,0.10,0.34,0.22,0.67,0.89
1293,1.00,0.71,0.38,0.13,0.83,0.74,0.10,0.44,0.83,0.56,0.23,0.40,0.52,0.18,0.59,0.88
3154,0.68,1.00,0.72,0.40,0.61,0.46,0.25,0.53,0.55,0.44,0.10,0.54,0.32,0.39,0.93,0.88
1162,0.51,1.00,0.60,0.31,0.39,0.29,0.38,0.25,0.52,0.35,0.57,0.10,0.68,0.49,0.66,0.88
1203,0.79,0.85,0.56,0.47,0.44,0.76,1.00,0.50,0.50,0.12,0.92,0.77,0.68,0.10,0.57,0.88
845,0.95,0.89,0.72,0.31,0.53,0.49,0.20,0.87,0.58,0.25,0.86,1.00,0.42,0.10,0.86,0.88
1257,0.35,0.51,0.54,0.28,0.75,1.00,0.44,0.57,0.52,0.70,0.33,0.44,0.33,0.10,0.32,0.88
1893,0.43,0.59,0.10,0.14,0.45,0.48,0.56,1.00,0.37,0.26,0.26,0.53,0.17,0.10,0.39,0.88
454,0.35,0.48,0.89,0.52,0.67,0.42,0.10,0.50,1.00,0.58,0.34,0.26,0.38,0.30,0.69,0.88
3084,0.39,1.00,0.20,0.11,0.38,0.36,0.34,0.86,0.33,0.25,0.18,0.24,0.10,0.30,0.47,0.88
2491,0.38,0.67,0.56,0.43,0.29,0.56,0.53,0.42,0.50,0.44,0.57,1.00,0.66,0.10,0.54,0.88
2116,0.72,0.59,0.60,0.31,0.78,0.44,0.88,0.83,0.80,0.94,0.35,0.24,0.10,0.14,1.00,0.88
1675,1.00,0.99,0.66,0.42,0.20,0.34,0.81,1.00,0.44,0.10,0.78,0.55,0.99,0.36,0.61,0.88
2783,0.72,0.57,0.62,0.59,0.94,1.00,0.39,0.81,0.74,0.78,0.30,0.45,0.10,0.34,0.88,0.88
2477,0.43,0.45,0.59,0.44,0.37,0.30,0.10,1.00,0.47,0.48,0.51,0.10,0.56,0.21,0.71,0.88
1076,0.48,0.63,0.45,0.33,0.44,0.29,0.22,1.00,0.39,0.17,0.15,0.22,0.10,0.16,0.58,0.88
166,1.00,0.59,0.15,0.18,0.69,0.61,0.57,0.93,0.63,0.63,0.24,0.64,0.10,0.11,0.67,0.88
500,0.67,0.87,0.74,0.56,0.69,0.77,0.78,0.48,0.60,0.32,0.87,0.10,0.73,0.41,1.00,0.88
337,0.75,0.61,0.73,0.76,0.88,0.67,0.52,0.39,0.70,0.10,0.70,1.00,0.71,0.17,0.48,0.88
2242,0.68,0.99,0.45,0.27,0.66,0.65,0.36,1.00,0.53,0.46,0.22,0.38,0.10,0.39,0.98,0.88
1688,0.70,0.62,0.64,0.50,0.52,0.78,0.92,0.57,0.61,0.10,1.00,0.47,0.75,0.34,0.53,0.88
250,0.28,0.48,0.41,0.25,0.60,0.39,0.28,1.00,0.47,0.34,0.17,0.15,0.10,0.23,0.47,0.88
1096,0.63,0.77,1.00,0.44,0.74,0.43,0.30,0.63,0.56,0.49,0.24,0.10,0.57,0.38,0.81,0.88
1440,0.46,0.53,0.63,0.53,0.53,0.37,0.10,1.00,0.57,0.13,0.46,0.10,0.70,0.28,0.63,0.88
794,0.35,0.71,0.35,0.18,0.49,0.36,0.22,1.00,0.34,0.21,0.18,0.10,0.27,0.19,0.51,0.88
1455,0.76,0.93,0.90,0.49,0.99,0.85,0.25,1.00,0.71,0.72,0.10,0.23,0.29,0.41,1.00,0.88
2646,0.71,0.58,0.85,0.58,0.87,0.73,0.60,0.63,0.76,1.00,0.15,0.38,0.10,0.34,0.78,0.88
2624,0.12,0.61,0.15,0.27,0.35,0.37,0.53,1.00,0.30,0.30,0.32,0.10,0.32,0.14,0.36,0.88
1271,0.70,1.00,0.51,0.38,0.51,0.37,0.37,0.97,0.46,0.10,0.47,0.18,0.32,0.35,0.99,0.88
3144,0.55,0.51,0.64,0.45,1.00,0.50,0.92,0.77,0.78,0.47,0.63,0.10,0.31,0.44,0.88,0.88
2838,0.63,0.55,0.70,0.77,0.75,0.82,0.83,0.41,0.66,0.74,0.60,0.79,0.73,0.10,1.00,0.88
2529,0.35,0.70,0.75,0.40,0.52,0.65,0.60,0.42,0.71,0.41,0.40,1.00,0.79,0.10,0.57,0.88
1562,0.66,0.67,1.00,0.43,0.88,0.83,0.10,0.70,0.72,0.48,0.47,0.50,0.91,0.46,0.58,0.88
545,0.50,0.46,0.55,0.40,0.49,0.33,0.63,0.50,1.00,0.28,0.74,0.10,0.52,0.51,0.77,0.88
214,0.55,0.73,0.48,0.51,0.58,0.45,0.36,1.00,0.52,0.36,0.13,0.37,0.10,0.39,0.92,0.88
2434,0.74,0.53,0.52,0.50,0.59,0.71,0.96,0.50,0.57,0.51,0.70,1.00,0.58,0.10,0.70,0.88
284,0.30,0.58,0.33,0.26,0.74,0.58,0.44,0.88,0.37,1.00,0.23,0.15,0.36,0.10,0.46,0.88
1094,0.46,0.68,1.00,0.35,0.69,0.54,0.53,0.37,0.72,0.43,0.55,0.37,0.93,0.10,0.72,0.88
9,0.65,0.90,1.00,0.48,0.39,0.53,0.54,0.68,0.41,0.61,0.19,0.38,0.50,0.10,0.95,0.88
514,0.60,0.51,0.26,0.10,0.67,0.75,0.48,1.00,0.47,0.47,0.29,0.45,0.15,0.12,0.51,0.88
611,0.38,0.52,0.97,0.51,0.45,0.71,0.36,0.64,0.67,0.75,0.63,0.81,1.00,0.10,0.46,0.88
362,0.39,0.52,0.30,0.15,0.49,0.43,0.27,1.00,0.38,0.32,0.23,0.25,0.10,0.16,0.51,0.88
3076,0.23,0.42,0.23,0.28,0.53,0.34,0.31,1.00,0.32,0.31,0.28,0.10,0.36,0.28,0.30,0.88
1537,0.62,0.81,0.68,0.74,0.59,0.35,0.48,0.47,0.74,0.26,0.59,0.10,0.50,0.64,1.00,0.88
1608,0.45,1.00,0.77,0.28,0.51,0.59,0.79,0.38,0.81,0.65,0.49,0.10,0.81,0.42,0.98,0.88
2430,0.51,0.52,0.35,0.44,0.93,0.88,0.57,1.00,0.40,0.66,0.91,0.14,0.29,0.10,0.64,0.88
2719,0.76,0.89,0.70,0.65,0.73,0.56,0.30,0.59,0.42,0.37,0.30,0.10,0.32,0.19,1.00,0.88
3277,0.53,0.49,0.36,0.10,0.83,0.78,0.44,1.00,0.87,0.61,0.37,0.11,0.19,0.25,0.65,0.88
924,0.22,0.52,0.59,0.43,0.89,0.69,0.57,1.00,0.50,0.33,0.31,0.10,0.37,0.25,0.48,0.88
1108,0.94,0.76,0.98,0.65,0.71,0.39,0.10,0.57,0.65,0.79,0.70,0.47,0.73,0.60,1.00,0.88
2423,0.71,0.82,0.63,0.43,0.35,0.28,0.66,0.56,0.71,0.20,0.62,0.10,0.73,0.39,1.00,0.88
1543,0.50,0.43,0.77,0.94,0.62,0.44,0.49,0.63,0.54,0.76,1.00,0.10,0.74,0.31,0.75,0.88
13,0.35,0.41,0.36,0.33,0.68,0.85,0.50,1.00,0.41,0.61,0.45,0.31,0.26,0.10,0.54,0.88
1166,0.61,0.35,0.62,0.17,0.68,0.43,0.70,0.88,1.00,0.15,0.65,0.58,0.65,0.10,0.70,0.88
3308,0.54,0.41,0.54,0.63,0.56,0.84,0.41,0.80,0.67,0.10,1.00,0.50,0.67,0.41,0.27,0.88
67,0.51,0.56,0.70,0.57,0.54,0.38,0.10,1.00,0.63,0.12,0.48,0.13,0.78,0.29,0.69,0.88
1801,0.90,1.00,0.56,0.16,0.65,0.82,0.48,0.49,0.35,0.63,0.20,0.85,0.44,0.10,0.41,0.88
1246,0.60,0.62,0.28,0.10,0.41,0.50,0.21,1.00,0.35,0.39,0.32,0.54,0.12,0.12,0.51,0.88
2949,0.62,0.51,0.55,0.47,0.42,0.52,0.67,0.36,0.48,0.36,0.64,1.00,0.48,0.10,0.24,0.88
761,0.54,0.43,0.66,0.29,0.70,0.47,0.32,0.81,0.45,1.00,0.40,0.26,0.16,0.10,0.59,0.88
2060,0.65,0.93,1.00,0.54,0.79,0.68,0.29,0.63,0.64,0.58,0.10,0.26,0.32,0.44,0.89,0.88
944,0.15,0.41,0.53,0.62,0.31,0.29,0.61,1.00,0.36,0.50,0.80,0.41,0.53,0.10,0.51,0.88
2468,0.51,0.43,0.40,0.33,0.77,1.00,0.77,0.88,0.48,0.75,0.40,0.68,0.60,0.10,0.41,0.88
2940,0.57,0.85,0.61,0.37,0.71,0.59,0.30,1.00,0.55,0.38,0.16,0.26,0.10,0.25,0.94,0.88
3381,0.69,0.51,0.65,0.22,0.86,0.73,0.48,1.00,0.55,0.41,0.19,0.83,0.50,0.10,0.42,0.88
1472,0.49,0.91,0.91,0.69,0.56,0.17,0.91,0.55,0.77,0.10,0.58,0.53,1.00,0.11,0.88,0.88
3069,0.39,0.49,0.44,0.33,0.62,0.45,0.45,1.00,0.44,0.25,0.31,0.10,0.23,0.24,0.70,0.88
2393,0.39,1.00,0.10,0.31,0.34,0.53,0.71,0.57,0.21,0.19,0.72,0.33,0.58,0.21,0.51,0.88
1353,0.41,0.45,0.65,0.50,0.89,1.00,0.64,0.95,0.86,0.84,0.34,0.23,0.10,0.27,0.67,0.88
2229,0.40,0.34,0.46,0.27,0.66,0.83,0.61,0.86,0.65,1.00,0.65,0.39,0.21,0.27,0.10,0.88
3388,1.00,0.81,0.75,0.50,0.49,0.21,0.17,0.77,0.56,0.10,0.63,0.47,0.51,0.14,0.94,0.88
533,0.63,0.85,0.51,0.56,0.53,0.32,0.19,0.77,0.52,0.29,0.28,0.10,0.27,0.39,1.00,0.88
209,0.58,0.70,1.00,0.56,0.86,0.58,0.26,0.80,0.71,0.69,0.10,0.17,0.32,0.33,0.86,0.88
2067,0.47,1.00,0.75,0.73,0.22,0.19,0.72,0.71,0.26,0.23,0.44,0.27,0.84,0.10,0.65,0.88
2463,0.95,0.92,0.43,0.53,0.38,0.41,0.67,0.32,0.78,0.21,0.95,1.00,0.34,0.10,0.84,0.88
1101,0.62,0.59,0.97,0.48,0.94,0.61,0.49,1.00,0.82,0.90,0.32,0.10,0.33,0.45,1.00,0.88
758,0.54,0.66,0.88,0.57,1.00,0.67,0.23,0.90,0.71,0.66,0.10,0.22,0.28,0.37,0.80,0.88
1171,0.68,0.54,1.00,0.83,0.75,0.71,0.47,0.41,0.46,0.53,0.57,0.34,0.86,0.10,0.61,0.88
2831,0.82,1.00,0.87,0.63,0.63,0.64,0.78,0.10,0.80,0.66,0.77,0.68,0.80,0.87,0.70,0.88
720,0.80,1.00,0.80,0.30,0.38,0.60,0.50,0.74,0.26,0.54,0.70,0.67,1.00,0.10,0.86,0.88
143,0.70,0.43,0.53,0.23,0.81,0.57,1.00,0.65,0.89,0.24,0.76,0.30,0.17,0.10,0.58,0.88
734,0.51,0.59,0.82,0.53,0.69,0.47,0.60,0.39,1.00,0.36,0.41,0.10,0.39,0.58,0.79,0.88
2984,0.55,0.52,0.94,0.53,0.70,0.63,0.52,0.48,0.74,0.35,0.58,0.66,1.00,0.10,0.75,0.88
2053,0.84,0.38,0.51,0.28,1.00,0.93,0.55,0.92,1.00,0.21,0.55,0.67,0.21,0.10,0.27,0.88
320,0.63,0.78,0.78,0.57,0.82,0.59,0.22,0.86,0.75,0.55,0.10,0.38,0.34,0.63,1.00,0.88
2466,0.72,0.78,0.56,0.60,0.55,0.56,0.48,0.69,0.65,0.31,0.19,0.46,0.10,0.53,1.00,0.88
1284,0.62,0.75,0.93,0.52,0.87,0.73,0.10,1.00,0.79,0.42,0.22,0.25,0.73,0.34,0.97,0.88
2608,0.72,0.81,0.72,0.47,0.58,0.59,0.25,0.66,0.80,0.70,0.10,0.21,0.34,0.58,1.00,0.88
407,0.81,0.85,0.83,0.75,0.74,0.55,0.93,0.10,0.95,0.43,0.75,0.47,1.00,0.53,0.90,0.88
854,0.45,0.44,0.51,0.26,0.29,0.37,1.00,0.47,0.47,0.46,0.41,0.43,0.55,0.10,0.42,0.88
598,0.33,0.24,0.35,0.17,0.64,0.41,0.63,1.00,0.69,0.26,0.53,0.38,0.20,0.10,0.33,0.88
710,0.77,0.63,1.00,0.61,0.58,0.56,0.10,0.51,0.72,0.83,0.31,0.51,0.60,0.43,0.86,0.88
671,0.55,0.95,0.55,0.38,0.48,0.60,0.50,0.41,0.27,0.46,0.97,0.48,1.00,0.10,0.63,0.88
2037,0.47,0.91,0.36,0.20,0.30,0.45,0.69,0.34,0.65,0.31,1.00,0.10,0.65,0.25,0.68,0.88
2927,0.58,0.87,0.73,0.64,0.72,0.50,0.28,0.62,0.64,0.55,0.10,0.37,0.19,0.52,1.00,0.88
1512,0.65,0.90,0.80,0.64,0.33,0.14,0.89,0.46,0.73,0.10,0.64,0.43,1.00,0.16,0.79,0.88
397,0.34,0.48,0.83,0.91,0.55,0.63,1.00,0.58,0.87,0.64,0.53,0.10,0.78,0.56,0.63,0.88
3444,0.86,0.51,0.86,0.58,0.60,0.47,0.46,0.56,0.51,0.59,0.84,0.69,1.00,0.10,0.84,0.88
2457,0.72,0.86,0.98,0.32,0.74,0.34,0.44,0.84,0.40,0.72,0.28,0.34,0.72,0.10,1.00,0.88
1698,0.52,0.61,1.00,0.55,0.71,0.53,0.15,0.90,0.67,0.69,0.10,0.45,0.58,0.35,0.82,0.88
3146,0.50,0.71,0.78,0.78,0.60,0.39,0.99,0.85,0.64,0.20,0.87,0.10,0.44,0.36,1.00,0.88
809,0.42,0.28,0.54,0.32,0.72,0.92,0.69,1.00,0.71,0.70,0.59,0.18,0.24,0.10,0.24,0.88
2860,0.50,0.44,0.37,0.63,0.70,0.48,1.00,0.78,0.60,0.36,0.51,0.24,0.10,0.53,0.59,0.88
1494,0.46,0.59,0.56,0.44,0.42,0.35,0.70,0.50,0.45,0.18,0.80,0.40,1.00,0.10,0.51,0.88
1425,0.83,0.94,0.85,0.54,0.66,0.53,0.24,0.64,0.71,0.69,0.10,0.21,0.21,0.50,1.00,0.88
261,0.56,0.64,0.68,0.72,0.64,0.50,0.43,0.59,1.00,0.47,0.10,0.52,0.28,0.77,0.83,0.88
991,0.57,0.93,0.73,0.12,0.78,0.88,0.18,1.00,0.51,0.52,0.16,0.37,0.30,0.10,0.66,0.88
1780,0.56,0.82,0.46,0.35,0.26,0.55,0.43,0.49,0.75,0.10,0.54,1.00,0.26,0.40,0.55,0.88
1995,0.42,0.25,0.29,0.42,0.53,0.64,0.44,1.00,0.30,0.56,0.53,0.59,0.36,0.10,0.27,0.88
1685,0.23,0.49,0.52,0.37,0.80,0.75,0.39,1.00,0.48,0.50,0.29,0.10,0.24,0.29,0.42,0.88
1696,0.60,1.00,0.75,0.43,0.41,0.32,0.10,0.38,0.46,0.43,0.19,0.31,0.42,0.45,0.74,0.88
495,0.68,0.59,0.48,0.64,0.53,0.59,0.47,0.38,0.61,0.10,0.86,1.00,0.46,0.23,0.44,0.88
463,0.42,0.62,1.00,0.53,0.54,0.60,0.39,0.37,0.74,0.59,0.30,0.78,0.85,0.10,0.60,0.88
813,0.56,0.50,0.23,0.17,0.73,0.66,0.24,1.00,0.52,0.38,0.30,0.10,0.14,0.30,0.43,0.88
2552,0.51,0.68,1.00,0.47,0.91,0.66,0.95,0.75,0.90,0.68,0.19,0.10,0.27,0.32,0.89,0.88
2435,0.33,0.52,0.53,1.00,0.44,0.38,0.85,0.41,0.70,0.39,0.41,0.41,0.10,0.51,0.45,0.88
453,0.42,0.79,0.41,0.12,0.67,0.59,0.33,1.00,0.39,0.21,0.31,0.10,0.27,0.27,0.61,0.88
2910,0.44,0.58,1.00,0.44,0.74,0.64,0.36,0.58,0.58,0.72,0.10,0.22,0.46,0.28,0.56,0.88
1935,0.56,0.53,0.79,0.64,0.71,0.39,1.00,0.50,0.79,0.60,0.47,0.10,0.20,0.53,0.74,0.88
1782,0.68,0.47,0.80,0.57,0.43,0.59,0.49,0.34,0.62,0.52,0.59,0.73,1.00,0.10,0.57,0.88
2694,0.48,0.61,1.00,0.58,0.86,0.64,0.34,0.81,0.82,0.66,0.10,0.16,0.49,0.40,0.86,0.88
1508,0.41,0.37,0.52,0.38,0.85,1.00,0.56,0.76,0.47,0.76,0.48,0.38,0.41,0.10,0.46,0.88
1160,1.00,0.98,0.67,0.66,0.37,0.45,0.53,0.58,0.44,0.10,0.95,0.57,0.57,0.45,0.94,0.88
438,0.37,0.61,1.00,0.70,0.57,0.46,0.10,0.38,0.70,0.74,0.15,0.54,0.37,0.20,0.49,0.88
2592,0.37,0.64,0.55,0.33,0.75,0.67,0.30,1.00,0.48,0.52,0.19,0.10,0.14,0.29,0.67,0.88
2501,0.44,0.94,0.69,0.33,0.28,0.42,0.43,0.98,0.48,0.33,1.00,0.62,0.82,0.10,1.00,0.88
1974,0.35,0.95,0.40,0.51,0.37,0.31,0.55,0.43,0.23,0.18,0.57,0.51,1.00,0.10,0.30,0.88
2778,0.75,0.85,0.59,1.00,0.59,0.31,0.58,0.10,0.54,0.38,0.70,0.43,0.75,0.27,0.88,0.88
3134,0.39,0.68,0.60,0.62,0.19,0.52,0.79,0.79,0.69,0.10,0.55,1.00,0.82,0.27,0.51,0.88
2076,0.99,0.89,0.93,1.00,0.75,0.73,0.93,0.10,0.96,0.51,0.68,0.51,0.89,0.78,0.84,0.88
1065,0.51,0.93,0.58,0.10,0.84,0.83,0.23,1.00,0.60,0.64,0.13,0.33,0.12,0.19,0.70,0.88
1630,0.54,0.80,0.61,0.10,0.70,0.47,0.11,0.76,0.68,0.78,0.64,0.17,0.81,0.26,1.00,0.88
2035,0.32,0.38,1.00,0.58,0.66,0.56,0.52,0.59,0.84,0.66,0.27,0.10,0.55,0.31,0.59,0.88
1007,0.45,0.70,0.28,0.31,0.59,0.73,0.41,1.00,0.21,0.30,0.36,0.20,0.10,0.24,0.45,0.88
1498,0.69,0.67,0.56,0.75,0.63,0.45,0.18,0.71,0.48,0.10,0.51,0.41,0.44,0.25,1.00,0.88
189,0.94,0.85,1.00,0.61,0.44,0.52,0.85,0.56,0.35,0.32,0.49,0.75,0.87,0.10,0.71,0.88
2394,0.29,0.64,0.71,0.14,0.51,0.37,0.50,1.00,0.53,0.37,0.34,0.10,0.19,0.41,0.58,0.88
2938,0.64,0.37,0.42,0.30,0.54,0.51,0.68,0.59,0.62,0.50,0.24,1.00,0.31,0.10,0.27,0.88
3049,0.37,0.60,0.94,0.46,0.89,0.82,0.29,1.00,0.65,0.85,0.10,0.22,0.39,0.22,0.57,0.88
144,0.53,0.38,0.43,0.28,0.75,0.67,0.62,0.44,0.59,1.00,0.59,0.74,0.36,0.10,0.54,0.88
1385,0.47,0.33,1.00,0.49,0.52,0.42,0.30,0.72,0.88,0.62,0.36,0.22,0.96,0.10,0.47,0.88
686,0.74,0.76,0.60,0.61,0.54,0.33,0.50,0.70,0.52,0.13,0.35,0.10,0.38,0.40,1.00,0.88
1730,0.61,0.87,0.97,0.53,0.68,0.63,0.10,0.63,0.71,0.72,0.20,0.49,0.65,0.53,1.00,0.88
1263,0.35,0.39,0.31,0.26,0.52,0.27,0.20,1.00,0.32,0.34,0.27,0.10,0.22,0.22,0.43,0.88
779,0.15,0.50,0.49,0.49,0.33,0.22,0.55,0.17,1.00,0.24,0.58,0.10,0.29,0.28,0.33,0.88
729,0.43,0.50,0.56,0.34,0.76,0.85,0.46,0.60,0.69,1.00,0.21,0.24,0.10,0.21,0.45,0.88
1185,0.59,0.40,0.59,0.63,0.68,0.77,0.88,0.62,0.64,0.51,0.47,1.00,0.58,0.10,0.76,0.88
349,0.42,0.62,0.97,0.67,0.49,0.56,0.38,0.34,0.62,0.43,0.56,0.75,1.00,0.10,0.33,0.88
2913,0.58,0.69,1.00,0.49,0.72,0.43,0.36,0.54,0.56,0.52,0.27,0.10,0.63,0.42,0.79,0.88
1051,0.53,0.75,0.94,0.28,0.55,0.25,0.56,0.61,1.00,0.14,0.59,0.10,0.74,0.18,0.90,0.88
202,0.76,0.76,0.92,0.66,0.67,0.40,0.10,0.47,0.94,0.62,0.35,0.41,0.33,0.60,1.00,0.88
1592,0.44,0.33,0.49,0.36,1.00,0.47,0.75,0.58,0.77,0.40,0.61,0.11,0.23,0.10,0.64,0.88
1538,0.46,0.71,0.74,0.87,0.42,0.44,0.84,0.10,1.00,0.25,0.35,0.46,0.53,0.36,0.64,0.88
3300,0.41,0.42,0.64,0.46,0.88,1.00,0.61,0.93,0.85,0.86,0.34,0.22,0.10,0.27,0.65,0.88
1569,0.64,0.27,0.82,0.32,0.83,0.99,0.62,1.00,0.91,0.48,0.61,0.83,0.49,0.10,0.14,0.88
1396,0.41,0.83,0.83,0.59,0.40,0.35,0.57,0.34,0.66,0.23,0.90,0.84,1.00,0.10,0.54,0.88
910,0.60,0.72,1.00,0.50,0.86,0.57,0.25,0.74,0.72,0.66,0.10,0.16,0.30,0.30,0.89,0.88
726,0.52,0.87,0.28,0.36,0.13,0.57,0.21,0.69,0.98,0.10,0.73,0.94,1.00,0.12,0.29,0.88
1910,0.38,0.74,0.34,0.25,0.49,0.45,0.15,1.00,0.37,0.22,0.13,0.27,0.10,0.23,0.55,0.88
868,0.85,0.77,0.86,0.56,0.41,0.42,0.56,0.29,0.46,0.44,0.95,0.58,1.00,0.10,0.64,0.88
877,0.26,0.41,0.25,0.16,0.49,0.34,0.23,1.00,0.36,0.29,0.19,0.11,0.23,0.10,0.26,0.88
3032,0.37,0.34,0.44,0.40,0.77,0.58,0.43,1.00,0.71,0.33,0.27,0.30,0.10,0.37,0.60,0.88
3062,0.29,0.41,0.34,0.29,0.43,0.33,0.36,1.00,0.54,0.12,0.22,0.33,0.10,0.19,0.52,0.88
288,0.64,0.86,0.47,0.37,0.51,0.32,0.37,1.00,0.34,0.10,0.26,0.26,0.30,0.29,0.84,0.88
341,0.69,0.98,0.62,0.45,0.53,0.64,0.19,0.96,0.49,0.62,0.14,0.46,0.10,0.41,1.00,0.88
2108,0.44,0.55,0.73,0.29,0.85,0.78,0.37,1.00,0.56,0.43,0.10,0.30,0.18,0.19,0.40,0.88
2991,0.33,0.52,0.90,0.60,0.65,0.78,0.68,0.35,0.82,1.00,0.44,0.91,0.78,0.10,0.38,0.88
1505,0.56,0.91,0.77,0.41,0.65,0.47,0.55,0.50,0.67,0.10,1.00,0.12,0.89,0.50,0.77,0.88
2510,0.74,0.75,0.46,0.39,0.10,0.48,1.00,0.20,0.94,0.38,0.57,0.63,0.62,0.45,0.49,0.88
1457,0.38,0.48,0.27,0.10,0.49,0.52,0.48,1.00,0.39,0.50,0.37,0.53,0.18,0.14,0.62,0.88
1151,0.83,0.60,0.59,0.44,0.45,0.42,0.80,0.61,0.48,0.20,1.00,0.10,0.59,0.35,0.70,0.88
2082,0.37,0.59,0.33,0.21,0.67,0.61,0.61,1.00,0.46,0.22,0.27,0.65,0.10,0.14,0.50,0.88
2421,0.77,0.66,0.35,0.17,0.33,0.48,0.31,1.00,0.32,0.28,0.44,0.71,0.19,0.10,0.59,0.88
2511,0.51,0.74,0.62,0.48,0.74,0.68,0.19,0.85,0.56,0.56,0.25,0.10,0.25,0.35,1.00,0.88
697,0.65,0.78,0.80,0.48,0.79,0.49,0.14,0.93,0.70,0.56,0.10,0.14,0.27,0.35,1.00,0.88
3078,0.55,0.78,0.86,0.37,0.79,0.54,0.29,0.77,0.43,0.26,0.35,0.25,1.00,0.10,0.70,0.88
2337,0.29,0.44,0.63,0.37,0.64,0.48,0.36,1.00,0.88,0.54,0.10,0.10,0.16,0.31,0.66,0.88
637,0.95,0.46,0.58,0.37,0.43,0.67,0.72,0.57,0.67,0.36,0.74,1.00,0.38,0.10,0.66,0.88
719,0.37,1.00,0.36,0.17,0.38,0.33,0.10,0.62,0.36,0.18,0.30,0.40,0.55,0.23,0.72,0.88
1754,0.80,0.61,0.89,0.60,0.95,0.67,0.39,0.54,1.00,1.00,0.10,0.53,0.10,0.51,0.75,0.88
3372,0.61,0.68,1.00,0.60,0.88,0.62,0.30,0.81,0.71,0.74,0.10,0.19,0.28,0.38,0.92,0.88
1417,0.56,0.83,0.74,0.69,0.58,0.22,0.44,0.80,0.71,0.10,0.53,0.36,0.29,0.69,1.00,0.88
1617,0.66,0.73,0.75,0.45,0.58,0.57,0.54,0.48,0.38,0.45,0.43,0.68,0.67,0.10,1.00,0.88
1530,0.88,0.61,0.65,0.57,0.57,0.62,1.00,0.51,0.62,0.10,0.88,0.31,0.84,0.52,0.48,0.88
1897,0.50,0.48,0.56,0.33,0.61,0.56,0.11,1.00,0.42,0.83,0.10,0.64,0.30,0.11,0.42,0.88
2447,0.61,0.76,0.97,0.38,0.68,0.76,0.10,1.00,0.58,0.41,0.23,0.57,0.75,0.34,0.80,0.88
1032,0.86,0.74,1.00,0.29,0.68,0.45,0.10,0.58,0.71,0.63,0.24,0.42,0.44,0.37,0.85,0.88
138,0.71,0.40,0.64,0.29,0.84,0.39,0.24,0.64,1.00,0.35,0.35,0.10,0.40,0.50,0.70,0.88
1838,0.42,0.27,0.65,0.41,0.61,0.56,0.44,0.57,0.49,1.00,0.48,0.54,0.23,0.10,0.47,0.88
300,0.58,1.00,0.67,0.39,0.33,0.42,0.99,0.10,0.89,0.24,0.50,0.29,0.80,0.17,0.66,0.88
2373,1.00,0.74,0.68,0.54,0.31,0.37,0.34,0.61,0.46,0.10,0.66,0.64,0.58,0.54,0.69,0.88
2262,0.70,0.58,1.00,0.57,0.60,0.49,0.10,0.57,0.71,0.79,0.19,0.45,0.51,0.31,0.85,0.88
1600,1.00,0.83,0.69,0.49,0.30,0.35,0.53,0.56,0.36,0.10,0.61,0.76,0.46,0.38,0.64,0.88
1481,0.54,0.73,0.58,0.46,0.39,0.50,0.50,0.56,0.39,0.16,0.64,0.44,1.00,0.10,0.78,0.88
2964,0.70,0.60,1.00,0.51,0.56,0.59,0.10,0.61,0.71,0.54,0.37,0.43,0.80,0.33,0.90,0.88
1531,0.63,0.78,0.66,0.59,0.40,0.50,0.80,0.45,0.52,0.10,0.62,0.90,1.00,0.11,0.52,0.88
966,0.80,0.58,0.50,0.57,0.52,0.77,0.98,0.68,0.64,0.10,1.00,0.95,0.56,0.30,0.62,0.88
2034,0.47,0.49,0.35,0.87,0.79,0.70,1.00,0.64,0.74,0.10,0.60,0.78,0.29,0.45,0.25,0.88
